"","year","division","arrest_count"
"739",2020,"D12",4
"740",2015,"D31",2
"741",2018,"D41",6
"742",2021,"D42",1
"743",2016,"D42",2
"744",2018,"D43",1
"745",2017,"D23",3
"746",2016,"D43",2
"747",2021,"D55",1
"748",2017,"D41",18
"749",2018,"NSA",1
"750",2018,"D55",5
"751",2015,"D42",9
"752",2022,"D43",1
"753",2020,"D53",1
"754",2016,"D33",11
"755",2022,"D53",1
"756",2021,"D42",1
"757",2019,"D51",2
"758",2019,"D12",1
"759",2019,"D31",1
"760",2022,"D43",1
"761",2014,"D55",1
"762",2017,"D53",1
"763",2022,"D55",6
"764",2017,"D33",4
"765",2020,"D32",1
"766",2015,"D41",1
"767",2015,"D41",4
"768",2021,"D55",1
"769",2015,"D22",1
"770",2021,"D14",1
"771",2020,"D55",7
"772",2022,"D55",8
"773",2017,"D32",1
"774",2014,"D32",4
"775",2014,"D55",13
"776",2021,"D22",3
"777",2017,"D55",1
"778",2019,"D43",1
"779",2017,"D41",1
"780",2019,"D51",3
"781",2018,"D13",1
"782",2022,"D13",1
"783",2018,"D43",14
"784",2020,"D51",2
"785",2016,"D23",2
"786",2018,"D41",2
"787",2014,"D12",1
"788",2016,"D53",2
"789",2016,"D52",7
"790",2019,"D41",4
"791",2014,"D32",1
"792",2018,"D53",1
"793",2015,"D52",2
"794",2020,"D42",1
"795",2017,"D55",5
"796",2018,"D53",1
"797",2015,"D42",10
"798",2015,"D14",4
"799",2019,"D43",2
"800",2019,"D11",1
"801",2015,"D33",2
"802",2019,"D55",1
"803",2022,"D13",1
"804",2017,"D23",1
"805",2019,"D52",1
"806",2014,"D12",2
"807",2017,"D12",4
"808",2016,"D52",3
"809",2017,"D22",1
"810",2019,"D22",1
"811",2015,"D12",2
"812",2022,"D55",2
"813",2015,"D13",5
"814",2019,"D43",1
"815",2018,"D22",2
"816",2019,"D55",3
"817",2014,"D22",1
"818",2014,"D32",3
"819",2017,"D23",1
"820",2018,"D51",1
"821",2017,"D12",2
"822",2017,"D43",1
"823",2015,"D33",1
"824",2015,"D41",4
"825",2022,"D33",1
"826",2022,"D55",8
"827",2017,"D41",2
"828",2022,"D32",8
"829",2022,"D43",5
"830",2018,"D13",3
"831",2021,"D22",1
"832",2021,"D14",19
"833",2016,"D23",2
"834",2019,"D22",2
"835",2021,"D23",1
"836",2020,"D23",6
"837",2015,"D43",1
"838",2014,"D51",1
"839",2022,"D32",1
"840",2021,"D53",1
"841",2014,"D12",1
"842",2019,"D42",3
"843",2014,"D11",4
