"","year","division","counts","type"
"227",2017,"D11",3727,"ALL"
"228",2017,"D12",3005,"ALL"
"229",2017,"D13",2435,"ALL"
"230",2017,"D14",5428,"ALL"
"231",2017,"D22",3925,"ALL"
"232",2017,"D23",3221,"ALL"
"233",2017,"D31",4286,"ALL"
"234",2017,"D32",4579,"ALL"
"235",2017,"D33",2657,"ALL"
"236",2017,"D41",5787,"ALL"
"237",2017,"D42",3101,"ALL"
"238",2017,"D43",6378,"ALL"
"239",2017,"D51",6274,"ALL"
"240",2017,"D52",6854,"ALL"
"241",2017,"D53",2588,"ALL"
"242",2017,"D55",5773,"ALL"
"243",2017,"NSA",1118,"ALL"
"244",2018,"D11",3219,"ALL"
"245",2018,"D12",2984,"ALL"
"246",2018,"D13",2276,"ALL"
"247",2018,"D14",4969,"ALL"
"248",2018,"D22",3880,"ALL"
"249",2018,"D23",2821,"ALL"
"250",2018,"D31",4269,"ALL"
"251",2018,"D32",4440,"ALL"
"252",2018,"D33",2173,"ALL"
"253",2018,"D41",5695,"ALL"
"254",2018,"D42",2795,"ALL"
"255",2018,"D43",6797,"ALL"
"256",2018,"D51",6707,"ALL"
"257",2018,"D52",6749,"ALL"
"258",2018,"D53",2232,"ALL"
"259",2018,"D55",5721,"ALL"
"260",2018,"NSA",1119,"ALL"
"261",2019,"D11",3321,"ALL"
"262",2019,"D12",2932,"ALL"
"263",2019,"D13",2071,"ALL"
"264",2019,"D14",4507,"ALL"
"265",2019,"D22",3739,"ALL"
"266",2019,"D23",2906,"ALL"
"267",2019,"D31",4110,"ALL"
"268",2019,"D32",4526,"ALL"
"269",2019,"D33",1839,"ALL"
"270",2019,"D41",5327,"ALL"
"271",2019,"D42",2696,"ALL"
"272",2019,"D43",6013,"ALL"
"273",2019,"D51",6787,"ALL"
"274",2019,"D52",6984,"ALL"
"275",2019,"D53",2107,"ALL"
"276",2019,"D55",5129,"ALL"
"277",2019,"NSA",1394,"ALL"
"278",2020,"D11",2609,"ALL"
"279",2020,"D12",2615,"ALL"
"280",2020,"D13",1949,"ALL"
"281",2020,"D14",3971,"ALL"
"282",2020,"D22",3209,"ALL"
"283",2020,"D23",2096,"ALL"
"284",2020,"D31",3286,"ALL"
"285",2020,"D32",3408,"ALL"
"286",2020,"D33",1570,"ALL"
"287",2020,"D41",4013,"ALL"
"288",2020,"D42",2361,"ALL"
"289",2020,"D43",4399,"ALL"
"290",2020,"D51",6721,"ALL"
"291",2020,"D52",3931,"ALL"
"292",2020,"D53",1877,"ALL"
"293",2020,"D55",4130,"ALL"
"294",2020,"NSA",1035,"ALL"
"295",2021,"D11",2439,"ALL"
"296",2021,"D12",2571,"ALL"
"297",2021,"D13",1744,"ALL"
"298",2021,"D14",4381,"ALL"
"299",2021,"D22",3243,"ALL"
"300",2021,"D23",2486,"ALL"
"301",2021,"D31",3512,"ALL"
"302",2021,"D32",3224,"ALL"
"303",2021,"D33",1585,"ALL"
"304",2021,"D41",4183,"ALL"
"305",2021,"D42",2460,"ALL"
"306",2021,"D43",4211,"ALL"
"307",2021,"D51",6754,"ALL"
"308",2021,"D52",3948,"ALL"
"309",2021,"D53",2368,"ALL"
"310",2021,"D55",4439,"ALL"
"311",2021,"NSA",984,"ALL"
"312",2022,"D11",2975,"ALL"
"313",2022,"D12",3015,"ALL"
"314",2022,"D13",1871,"ALL"
"315",2022,"D14",5288,"ALL"
"316",2022,"D22",3777,"ALL"
"317",2022,"D23",2982,"ALL"
"318",2022,"D31",4123,"ALL"
"319",2022,"D32",3873,"ALL"
"320",2022,"D33",2086,"ALL"
"321",2022,"D41",4916,"ALL"
"322",2022,"D42",2704,"ALL"
"323",2022,"D43",4503,"ALL"
"324",2022,"D51",7436,"ALL"
"325",2022,"D52",4715,"ALL"
"326",2022,"D53",3187,"ALL"
"327",2022,"D55",5761,"ALL"
"328",2022,"NSA",1031,"ALL"
